
Time	Session	Type	ReqestId	Status	Syntax	OID	Value
0.014	192.168.1.72	RESPONSE	1704275170	0(Success)	TimeTicks	1.3.6.1.2.1.1.9.1.4.1	0:00:00.00
0.015	192.168.1.72	GETNEXT	1704275172	0(Success)		1.3.6.1.2.1.1.9.1.4.1	
0.015	192.168.1.72	RESPONSE	1704275172	0(Success)	TimeTicks	1.3.6.1.2.1.1.9.1.4.2	0:00:00.00
0.015	192.168.1.72	GETNEXT	1704275174	0(Success)		1.3.6.1.2.1.1.9.1.4.2	
0.015	192.168.1.72	RESPONSE	1704275174	0(Success)	TimeTicks	1.3.6.1.2.1.1.9.1.4.3	0:00:00.00
0.015	192.168.1.72	GETNEXT	1704275176	0(Success)		1.3.6.1.2.1.1.9.1.4.3	
0.015	192.168.1.72	RESPONSE	1704275176	0(Success)	TimeTicks	1.3.6.1.2.1.1.9.1.4.4	0:00:00.00
0.015	192.168.1.72	GETNEXT	1704275178	0(Success)		1.3.6.1.2.1.1.9.1.4.4	
0.015	192.168.1.72	RESPONSE	1704275178	0(Success)	TimeTicks	1.3.6.1.2.1.1.9.1.4.5	0:00:00.00
0.016	192.168.1.72	GETNEXT	1704275180	0(Success)		1.3.6.1.2.1.1.9.1.4.5	
0.016	192.168.1.72	RESPONSE	1704275180	0(Success)	TimeTicks	1.3.6.1.2.1.1.9.1.4.6	0:00:00.00
0.016	192.168.1.72	GETNEXT	1704275182	0(Success)		1.3.6.1.2.1.1.9.1.4.6	
0.016	192.168.1.72	RESPONSE	1704275182	0(Success)	TimeTicks	1.3.6.1.2.1.1.9.1.4.7	0:00:00.00
0.016	192.168.1.72	GETNEXT	1704275184	0(Success)		1.3.6.1.2.1.1.9.1.4.7	
0.016	192.168.1.72	RESPONSE	1704275184	0(Success)	TimeTicks	1.3.6.1.2.1.1.9.1.4.8	0:00:00.00
0.016	192.168.1.72	GETNEXT	1704275186	0(Success)		1.3.6.1.2.1.1.9.1.4.8	
0.016	192.168.1.72	RESPONSE	1704275186	0(Success)	Integer32	1.3.6.1.2.1.2.1.0	2
0.016	192.168.1.72	GETNEXT	1704275188	0(Success)		1.3.6.1.2.1.2.1.0	
0.016	192.168.1.72	RESPONSE	1704275188	0(Success)	Integer32	1.3.6.1.2.1.2.2.1.1.1	1
0.016	192.168.1.72	GETNEXT	1704275190	0(Success)		1.3.6.1.2.1.2.2.1.1.1	
0.017	192.168.1.72	RESPONSE	1704275190	0(Success)	Integer32	1.3.6.1.2.1.2.2.1.1.2	2
0.017	192.168.1.72	GETNEXT	1704275192	0(Success)		1.3.6.1.2.1.2.2.1.1.2	
0.017	192.168.1.72	RESPONSE	1704275192	0(Success)	OCTET STRING	1.3.6.1.2.1.2.2.1.2.1	lo
0.017	192.168.1.72	GETNEXT	1704275194	0(Success)		1.3.6.1.2.1.2.2.1.2.1	
0.017	192.168.1.72	RESPONSE	1704275194	0(Success)	OCTET STRING	1.3.6.1.2.1.2.2.1.2.2	eth0
0.017	192.168.1.72	GETNEXT	1704275196	0(Success)		1.3.6.1.2.1.2.2.1.2.2	
0.017	192.168.1.72	RESPONSE	1704275196	0(Success)	Integer32	1.3.6.1.2.1.2.2.1.3.1	24
0.017	192.168.1.72	GETNEXT	1704275198	0(Success)		1.3.6.1.2.1.2.2.1.3.1	
0.017	192.168.1.72	RESPONSE	1704275198	0(Success)	Integer32	1.3.6.1.2.1.2.2.1.3.2	6
0.017	192.168.1.72	GETNEXT	1704275200	0(Success)		1.3.6.1.2.1.2.2.1.3.2	
0.017	192.168.1.72	RESPONSE	1704275200	0(Success)	Integer32	1.3.6.1.2.1.2.2.1.4.1	16436
0.017	192.168.1.72	GETNEXT	1704275202	0(Success)		1.3.6.1.2.1.2.2.1.4.1	
0.017	192.168.1.72	RESPONSE	1704275202	0(Success)	Integer32	1.3.6.1.2.1.2.2.1.4.2	1500
0.017	192.168.1.72	GETNEXT	1704275204	0(Success)		1.3.6.1.2.1.2.2.1.4.2	
0.017	192.168.1.72	RESPONSE	1704275204	0(Success)	Gauge	1.3.6.1.2.1.2.2.1.5.1	10000000
0.017	192.168.1.72	GETNEXT	1704275206	0(Success)		1.3.6.1.2.1.2.2.1.5.1	
0.017	192.168.1.72	RESPONSE	1704275206	0(Success)	Gauge	1.3.6.1.2.1.2.2.1.5.2	100000000
0.017	192.168.1.72	GETNEXT	1704275208	0(Success)		1.3.6.1.2.1.2.2.1.5.2	
0.018	192.168.1.72	RESPONSE	1704275208	0(Success)	OCTET STRING	1.3.6.1.2.1.2.2.1.6.1	
0.018	192.168.1.72	GETNEXT	1704275210	0(Success)		1.3.6.1.2.1.2.2.1.6.1	
0.018	192.168.1.72	RESPONSE	1704275210	0(Success)	OCTET STRING	1.3.6.1.2.1.2.2.1.6.2	bc:5f:f4:43:72:80
0.018	192.168.1.72	GETNEXT	1704275212	0(Success)		1.3.6.1.2.1.2.2.1.6.2	
0.018	192.168.1.72	RESPONSE	1704275212	0(Success)	Integer32	1.3.6.1.2.1.2.2.1.7.1	1
0.018	192.168.1.72	GETNEXT	1704275214	0(Success)		1.3.6.1.2.1.2.2.1.7.1	
0.018	192.168.1.72	RESPONSE	1704275214	0(Success)	Integer32	1.3.6.1.2.1.2.2.1.7.2	1
0.018	192.168.1.72	GETNEXT	1704275216	0(Success)		1.3.6.1.2.1.2.2.1.7.2	
0.018	192.168.1.72	RESPONSE	1704275216	0(Success)	Integer32	1.3.6.1.2.1.2.2.1.8.1	1
0.018	192.168.1.72	GETNEXT	1704275218	0(Success)		1.3.6.1.2.1.2.2.1.8.1	
0.018	192.168.1.72	RESPONSE	1704275218	0(Success)	Integer32	1.3.6.1.2.1.2.2.1.8.2	1
0.018	192.168.1.72	GETNEXT	1704275220	0(Success)		1.3.6.1.2.1.2.2.1.8.2	
0.018	192.168.1.72	RESPONSE	1704275220	0(Success)	TimeTicks	1.3.6.1.2.1.2.2.1.9.1	0:00:00.00
0.018	192.168.1.72	GETNEXT	1704275222	0(Success)		1.3.6.1.2.1.2.2.1.9.1	
0.018	192.168.1.72	RESPONSE	1704275222	0(Success)	TimeTicks	1.3.6.1.2.1.2.2.1.9.2	0:00:00.00
0.019	192.168.1.72	GETNEXT	1704275224	0(Success)		1.3.6.1.2.1.2.2.1.9.2	
0.019	192.168.1.72	RESPONSE	1704275224	0(Success)	Counter	1.3.6.1.2.1.2.2.1.10.1	1411406994
0.019	192.168.1.72	GETNEXT	1704275226	0(Success)		1.3.6.1.2.1.2.2.1.10.1	
0.019	192.168.1.72	RESPONSE	1704275226	0(Success)	Counter	1.3.6.1.2.1.2.2.1.10.2	1305164252
0.019	192.168.1.72	GETNEXT	1704275228	0(Success)		1.3.6.1.2.1.2.2.1.10.2	
0.019	192.168.1.72	RESPONSE	1704275228	0(Success)	Counter	1.3.6.1.2.1.2.2.1.11.1	13891653
0.019	192.168.1.72	GETNEXT	1704275230	0(Success)		1.3.6.1.2.1.2.2.1.11.1	
0.019	192.168.1.72	RESPONSE	1704275230	0(Success)	Counter	1.3.6.1.2.1.2.2.1.11.2	25089781
0.019	192.168.1.72	GETNEXT	1704275232	0(Success)		1.3.6.1.2.1.2.2.1.11.2	
0.019	192.168.1.72	RESPONSE	1704275232	0(Success)	Counter	1.3.6.1.2.1.2.2.1.12.1	0
0.019	192.168.1.72	GETNEXT	1704275234	0(Success)		1.3.6.1.2.1.2.2.1.12.1	
0.019	192.168.1.72	RESPONSE	1704275234	0(Success)	Counter	1.3.6.1.2.1.2.2.1.12.2	0
0.019	192.168.1.72	GETNEXT	1704275236	0(Success)		1.3.6.1.2.1.2.2.1.12.2	
0.019	192.168.1.72	RESPONSE	1704275236	0(Success)	Counter	1.3.6.1.2.1.2.2.1.13.1	0
0.019	192.168.1.72	GETNEXT	1704275238	0(Success)		1.3.6.1.2.1.2.2.1.13.1	
0.019	192.168.1.72	RESPONSE	1704275238	0(Success)	Counter	1.3.6.1.2.1.2.2.1.13.2	0
0.019	192.168.1.72	GETNEXT	1704275240	0(Success)		1.3.6.1.2.1.2.2.1.13.2	
0.02	192.168.1.72	RESPONSE	1704275240	0(Success)	Counter	1.3.6.1.2.1.2.2.1.14.1	0
0.02	192.168.1.72	GETNEXT	1704275242	0(Success)		1.3.6.1.2.1.2.2.1.14.1	
0.02	192.168.1.72	RESPONSE	1704275242	0(Success)	Counter	1.3.6.1.2.1.2.2.1.14.2	0
0.02	192.168.1.72	GETNEXT	1704275244	0(Success)		1.3.6.1.2.1.2.2.1.14.2	
0.02	192.168.1.72	RESPONSE	1704275244	0(Success)	Counter	1.3.6.1.2.1.2.2.1.15.1	0
0.02	192.168.1.72	GETNEXT	1704275246	0(Success)		1.3.6.1.2.1.2.2.1.15.1	
0.02	192.168.1.72	RESPONSE	1704275246	0(Success)	Counter	1.3.6.1.2.1.2.2.1.15.2	0
0.02	192.168.1.72	GETNEXT	1704275248	0(Success)		1.3.6.1.2.1.2.2.1.15.2	
0.02	192.168.1.72	RESPONSE	1704275248	0(Success)	Counter	1.3.6.1.2.1.2.2.1.16.1	1411406994
0.02	192.168.1.72	GETNEXT	1704275250	0(Success)		1.3.6.1.2.1.2.2.1.16.1	
0.02	192.168.1.72	RESPONSE	1704275250	0(Success)	Counter	1.3.6.1.2.1.2.2.1.16.2	3131138437
0.02	192.168.1.72	GETNEXT	1704275252	0(Success)		1.3.6.1.2.1.2.2.1.16.2	
0.02	192.168.1.72	RESPONSE	1704275252	0(Success)	Counter	1.3.6.1.2.1.2.2.1.17.1	13891653
0.02	192.168.1.72	GETNEXT	1704275254	0(Success)		1.3.6.1.2.1.2.2.1.17.1	
0.02	192.168.1.72	RESPONSE	1704275254	0(Success)	Counter	1.3.6.1.2.1.2.2.1.17.2	14048852
0.02	192.168.1.72	GETNEXT	1704275256	0(Success)		1.3.6.1.2.1.2.2.1.17.2	
0.02	192.168.1.72	RESPONSE	1704275256	0(Success)	Counter	1.3.6.1.2.1.2.2.1.18.1	0
0.02	192.168.1.72	GETNEXT	1704275258	0(Success)		1.3.6.1.2.1.2.2.1.18.1	
0.021	192.168.1.72	RESPONSE	1704275258	0(Success)	Counter	1.3.6.1.2.1.2.2.1.18.2	0
0.021	192.168.1.72	GETNEXT	1704275260	0(Success)		1.3.6.1.2.1.2.2.1.18.2	
0.021	192.168.1.72	RESPONSE	1704275260	0(Success)	Counter	1.3.6.1.2.1.2.2.1.19.1	0
0.021	192.168.1.72	GETNEXT	1704275262	0(Success)		1.3.6.1.2.1.2.2.1.19.1	
0.021	192.168.1.72	RESPONSE	1704275262	0(Success)	Counter	1.3.6.1.2.1.2.2.1.19.2	0
0.021	192.168.1.72	GETNEXT	1704275264	0(Success)		1.3.6.1.2.1.2.2.1.19.2	
0.021	192.168.1.72	RESPONSE	1704275264	0(Success)	Counter	1.3.6.1.2.1.2.2.1.20.1	0
0.021	192.168.1.72	GETNEXT	1704275266	0(Success)		1.3.6.1.2.1.2.2.1.20.1	
0.021	192.168.1.72	RESPONSE	1704275266	0(Success)	Counter	1.3.6.1.2.1.2.2.1.20.2	0
0.021	192.168.1.72	GETNEXT	1704275268	0(Success)		1.3.6.1.2.1.2.2.1.20.2	
0.021	192.168.1.72	RESPONSE	1704275268	0(Success)	Gauge	1.3.6.1.2.1.2.2.1.21.1	0
0.021	192.168.1.72	GETNEXT	1704275270	0(Success)		1.3.6.1.2.1.2.2.1.21.1	
0.021	192.168.1.72	RESPONSE	1704275270	0(Success)	Gauge	1.3.6.1.2.1.2.2.1.21.2	0
0.021	192.168.1.72	GETNEXT	1704275272	0(Success)		1.3.6.1.2.1.2.2.1.21.2	
0.021	192.168.1.72	RESPONSE	1704275272	0(Success)	OBJECT IDENTIFIER	1.3.6.1.2.1.2.2.1.22.1	0.0
0.021	192.168.1.72	GETNEXT	1704275274	0(Success)		1.3.6.1.2.1.2.2.1.22.1	
0.021	192.168.1.72	RESPONSE	1704275274	0(Success)	OBJECT IDENTIFIER	1.3.6.1.2.1.2.2.1.22.2	0.0
0.021	192.168.1.72	GETNEXT	1704275276	0(Success)		1.3.6.1.2.1.2.2.1.22.2	
0.022	192.168.1.72	RESPONSE	1704275276	0(Success)	Integer32	1.3.6.1.2.1.3.1.1.1.2.1.192.168.1.66	2
0.022	192.168.1.72	GETNEXT	1704275278	0(Success)		1.3.6.1.2.1.3.1.1.1.2.1.192.168.1.66	
0.022	192.168.1.72	RESPONSE	1704275278	0(Success)	Integer32	1.3.6.1.2.1.3.1.1.1.2.1.192.168.1.75	2
0.022	192.168.1.72	GETNEXT	1704275280	0(Success)		1.3.6.1.2.1.3.1.1.1.2.1.192.168.1.75	
0.022	192.168.1.72	RESPONSE	1704275280	0(Success)	Integer32	1.3.6.1.2.1.3.1.1.1.2.1.192.168.1.254	2
0.022	192.168.1.72	GETNEXT	1704275282	0(Success)		1.3.6.1.2.1.3.1.1.1.2.1.192.168.1.254	
0.022	192.168.1.72	RESPONSE	1704275282	0(Success)	OCTET STRING	1.3.6.1.2.1.3.1.1.2.2.1.192.168.1.66	00:90:a9:bc:8e:25
0.022	192.168.1.72	GETNEXT	1704275284	0(Success)		1.3.6.1.2.1.3.1.1.2.2.1.192.168.1.66	
0.022	192.168.1.72	RESPONSE	1704275284	0(Success)	OCTET STRING	1.3.6.1.2.1.3.1.1.2.2.1.192.168.1.75	00:1f:d0:d5:ad:80
0.022	192.168.1.72	GETNEXT	1704275286	0(Success)		1.3.6.1.2.1.3.1.1.2.2.1.192.168.1.75	
0.022	192.168.1.72	RESPONSE	1704275286	0(Success)	OCTET STRING	1.3.6.1.2.1.3.1.1.2.2.1.192.168.1.254	28:16:2e:15:fa:19
0.022	192.168.1.72	GETNEXT	1704275288	0(Success)		1.3.6.1.2.1.3.1.1.2.2.1.192.168.1.254	
0.022	192.168.1.72	RESPONSE	1704275288	0(Success)	IpAddress	1.3.6.1.2.1.3.1.1.3.2.1.192.168.1.66	192.168.1.66
0.022	192.168.1.72	GETNEXT	1704275290	0(Success)		1.3.6.1.2.1.3.1.1.3.2.1.192.168.1.66	
0.022	192.168.1.72	RESPONSE	1704275290	0(Success)	IpAddress	1.3.6.1.2.1.3.1.1.3.2.1.192.168.1.75	192.168.1.75
0.022	192.168.1.72	GETNEXT	1704275292	0(Success)		1.3.6.1.2.1.3.1.1.3.2.1.192.168.1.75	
0.022	192.168.1.72	RESPONSE	1704275292	0(Success)	IpAddress	1.3.6.1.2.1.3.1.1.3.2.1.192.168.1.254	192.168.1.254
0.022	192.168.1.72	GETNEXT	1704275294	0(Success)		1.3.6.1.2.1.3.1.1.3.2.1.192.168.1.254	
0.023	192.168.1.72	RESPONSE	1704275294	0(Success)	Integer32	1.3.6.1.2.1.4.1.0	2
0.023	192.168.1.72	GETNEXT	1704275296	0(Success)		1.3.6.1.2.1.4.1.0	
0.023	192.168.1.72	RESPONSE	1704275296	0(Success)	Integer32	1.3.6.1.2.1.4.2.0	64
0.023	192.168.1.72	GETNEXT	1704275298	0(Success)		1.3.6.1.2.1.4.2.0	
0.023	192.168.1.72	RESPONSE	1704275298	0(Success)	Counter	1.3.6.1.2.1.4.3.0	30360861
0.023	192.168.1.72	GETNEXT	1704275300	0(Success)		1.3.6.1.2.1.4.3.0	
0.023	192.168.1.72	RESPONSE	1704275300	0(Success)	Counter	1.3.6.1.2.1.4.4.0	0
0.023	192.168.1.72	GETNEXT	1704275302	0(Success)		1.3.6.1.2.1.4.4.0	
0.023	192.168.1.72	RESPONSE	1704275302	0(Success)	Counter	1.3.6.1.2.1.4.5.0	31
0.023	192.168.1.72	GETNEXT	1704275304	0(Success)		1.3.6.1.2.1.4.5.0	
0.023	192.168.1.72	RESPONSE	1704275304	0(Success)	Counter	1.3.6.1.2.1.4.6.0	0
0.023	192.168.1.72	GETNEXT	1704275306	0(Success)		1.3.6.1.2.1.4.6.0	
0.023	192.168.1.72	RESPONSE	1704275306	0(Success)	Counter	1.3.6.1.2.1.4.7.0	0
0.023	192.168.1.72	GETNEXT	1704275308	0(Success)		1.3.6.1.2.1.4.7.0	
0.023	192.168.1.72	RESPONSE	1704275308	0(Success)	Counter	1.3.6.1.2.1.4.8.0	0
0.023	192.168.1.72	GETNEXT	1704275310	0(Success)		1.3.6.1.2.1.4.8.0	
0.024	192.168.1.72	RESPONSE	1704275310	0(Success)	Counter	1.3.6.1.2.1.4.9.0	28434518
0.024	192.168.1.72	GETNEXT	1704275312	0(Success)		1.3.6.1.2.1.4.9.0	
0.024	192.168.1.72	RESPONSE	1704275312	0(Success)	Counter	1.3.6.1.2.1.4.10.0	27077534
0.024	192.168.1.72	GETNEXT	1704275314	0(Success)		1.3.6.1.2.1.4.10.0	
0.024	192.168.1.72	RESPONSE	1704275314	0(Success)	Counter	1.3.6.1.2.1.4.11.0	0
0.024	192.168.1.72	GETNEXT	1704275316	0(Success)		1.3.6.1.2.1.4.11.0	
0.024	192.168.1.72	RESPONSE	1704275316	0(Success)	Counter	1.3.6.1.2.1.4.12.0	3198
0.024	192.168.1.72	GETNEXT	1704275318	0(Success)		1.3.6.1.2.1.4.12.0	
0.024	192.168.1.72	RESPONSE	1704275318	0(Success)	Integer32	1.3.6.1.2.1.4.13.0	30
0.024	192.168.1.72	GETNEXT	1704275320	0(Success)		1.3.6.1.2.1.4.13.0	
0.024	192.168.1.72	RESPONSE	1704275320	0(Success)	Counter	1.3.6.1.2.1.4.14.0	0
0.024	192.168.1.72	GETNEXT	1704275322	0(Success)		1.3.6.1.2.1.4.14.0	
0.024	192.168.1.72	RESPONSE	1704275322	0(Success)	Counter	1.3.6.1.2.1.4.15.0	0
0.024	192.168.1.72	GETNEXT	1704275324	0(Success)		1.3.6.1.2.1.4.15.0	
0.024	192.168.1.72	RESPONSE	1704275324	0(Success)	Counter	1.3.6.1.2.1.4.16.0	0
0.024	192.168.1.72	GETNEXT	1704275326	0(Success)		1.3.6.1.2.1.4.16.0	
0.024	192.168.1.72	RESPONSE	1704275326	0(Success)	Counter	1.3.6.1.2.1.4.17.0	0
0.024	192.168.1.72	GETNEXT	1704275328	0(Success)		1.3.6.1.2.1.4.17.0	
0.024	192.168.1.72	RESPONSE	1704275328	0(Success)	Counter	1.3.6.1.2.1.4.18.0	0
0.025	192.168.1.72	GETNEXT	1704275330	0(Success)		1.3.6.1.2.1.4.18.0	
0.025	192.168.1.72	RESPONSE	1704275330	0(Success)	Counter	1.3.6.1.2.1.4.19.0	0
0.025	192.168.1.72	GETNEXT	1704275332	0(Success)		1.3.6.1.2.1.4.19.0	
0.025	192.168.1.72	RESPONSE	1704275332	0(Success)	IpAddress	1.3.6.1.2.1.4.20.1.1.127.0.0.1	127.0.0.1
0.025	192.168.1.72	GETNEXT	1704275334	0(Success)		1.3.6.1.2.1.4.20.1.1.127.0.0.1	
0.025	192.168.1.72	RESPONSE	1704275334	0(Success)	IpAddress	1.3.6.1.2.1.4.20.1.1.192.168.1.72	192.168.1.72
0.025	192.168.1.72	GETNEXT	1704275336	0(Success)		1.3.6.1.2.1.4.20.1.1.192.168.1.72	
0.025	192.168.1.72	RESPONSE	1704275336	0(Success)	Integer32	1.3.6.1.2.1.4.20.1.2.127.0.0.1	1
0.025	192.168.1.72	GETNEXT	1704275338	0(Success)		1.3.6.1.2.1.4.20.1.2.127.0.0.1	
0.025	192.168.1.72	RESPONSE	1704275338	0(Success)	Integer32	1.3.6.1.2.1.4.20.1.2.192.168.1.72	2
0.025	192.168.1.72	GETNEXT	1704275340	0(Success)		1.3.6.1.2.1.4.20.1.2.192.168.1.72	
0.025	192.168.1.72	RESPONSE	1704275340	0(Success)	IpAddress	1.3.6.1.2.1.4.20.1.3.127.0.0.1	255.0.0.0
0.025	192.168.1.72	GETNEXT	1704275342	0(Success)		1.3.6.1.2.1.4.20.1.3.127.0.0.1	
0.025	192.168.1.72	RESPONSE	1704275342	0(Success)	IpAddress	1.3.6.1.2.1.4.20.1.3.192.168.1.72	255.255.255.0
0.025	192.168.1.72	GETNEXT	1704275344	0(Success)		1.3.6.1.2.1.4.20.1.3.192.168.1.72	
0.025	192.168.1.72	RESPONSE	1704275344	0(Success)	Integer32	1.3.6.1.2.1.4.20.1.4.127.0.0.1	0
0.025	192.168.1.72	GETNEXT	1704275346	0(Success)		1.3.6.1.2.1.4.20.1.4.127.0.0.1	
0.026	192.168.1.72	RESPONSE	1704275346	0(Success)	Integer32	1.3.6.1.2.1.4.20.1.4.192.168.1.72	1
0.026	192.168.1.72	GETNEXT	1704275348	0(Success)		1.3.6.1.2.1.4.20.1.4.192.168.1.72	
0.026	192.168.1.72	RESPONSE	1704275348	0(Success)	IpAddress	1.3.6.1.2.1.4.21.1.1.0.0.0.0	0.0.0.0
0.026	192.168.1.72	GETNEXT	1704275350	0(Success)		1.3.6.1.2.1.4.21.1.1.0.0.0.0	
0.026	192.168.1.72	RESPONSE	1704275350	0(Success)	IpAddress	1.3.6.1.2.1.4.21.1.1.192.168.1.0	192.168.1.0
0.026	192.168.1.72	GETNEXT	1704275352	0(Success)		1.3.6.1.2.1.4.21.1.1.192.168.1.0	
0.026	192.168.1.72	RESPONSE	1704275352	0(Success)	Integer32	1.3.6.1.2.1.4.21.1.2.0.0.0.0	2
0.026	192.168.1.72	GETNEXT	1704275354	0(Success)		1.3.6.1.2.1.4.21.1.2.0.0.0.0	
0.026	192.168.1.72	RESPONSE	1704275354	0(Success)	Integer32	1.3.6.1.2.1.4.21.1.2.192.168.1.0	2
0.026	192.168.1.72	GETNEXT	1704275356	0(Success)		1.3.6.1.2.1.4.21.1.2.192.168.1.0	
